index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
1,wenner,apparent_resistivity,390.0,0.0,420.0,0.0,400.0,0.0,410.0,0.0,76.82,1.22262827283194,62.83185307179586,76.82,3.8409999999999997
2,wenner,apparent_resistivity,380.0,0.0,410.0,0.0,390.0,0.0,400.0,0.0,86.18,1.3715972995659542,62.83185307179586,86.18,4.309
3,wenner,apparent_resistivity,370.0,0.0,400.0,0.0,380.0,0.0,390.0,0.0,58.72,0.9345578258356094,62.83185307179586,58.72,2.936
4,wenner,apparent_resistivity,360.0,0.0,390.0,0.0,370.0,0.0,380.0,0.0,69.28,1.102625445740651,62.83185307179586,69.28,3.4640000000000004
5,wenner,apparent_resistivity,350.0,0.0,380.0,0.0,360.0,0.0,370.0,0.0,53.86,0.8572085234929483,62.83185307179586,53.86,2.693
6,wenner,apparent_resistivity,340.0,0.0,370.0,0.0,350.0,0.0,360.0,0.0,38.44,0.6117916012452457,62.83185307179586,38.44,1.922
7,wenner,apparent_resistivity,330.0,0.0,360.0,0.0,340.0,0.0,350.0,0.0,29.56,0.4704620117796426,62.83185307179586,29.56,1.478
8,wenner,apparent_resistivity,320.0,0.0,350.0,0.0,330.0,0.0,340.0,0.0,29.69,0.47253102603983727,62.83185307179586,29.69,1.4845000000000002
9,wenner,apparent_resistivity,310.0,0.0,340.0,0.0,320.0,0.0,330.0,0.0,30.58,0.48669581597501593,62.83185307179586,30.58,1.529
10,wenner,apparent_resistivity,300.0,0.0,330.0,0.0,310.0,0.0,320.0,0.0,38.45,0.6119507561883376,62.83185307179586,38.45,1.9225000000000003
11,wenner,apparent_resistivity,290.0,0.0,320.0,0.0,300.0,0.0,310.0,0.0,61.67,0.9815085340477187,62.83185307179586,61.67,3.0835000000000004
12,wenner,apparent_resistivity,280.0,0.0,310.0,0.0,290.0,0.0,300.0,0.0,84.88,1.3509071569640076,62.83185307179586,84.88,4.244
13,wenner,apparent_resistivity,270.0,0.0,300.0,0.0,280.0,0.0,290.0,0.0,75.59,1.203052214831637,62.83185307179586,75.59,3.7795000000000005
14,wenner,apparent_resistivity,260.0,0.0,290.0,0.0,270.0,0.0,280.0,0.0,112.44,1.7895381801252712,62.83185307179586,112.44,5.622
15,wenner,apparent_resistivity,250.0,0.0,280.0,0.0,260.0,0.0,270.0,0.0,102.75,1.6353170402692245,62.83185307179586,102.75,5.1375
16,wenner,apparent_resistivity,240.0,0.0,270.0,0.0,250.0,0.0,260.0,0.0,122.2,1.9448734045829612,62.83185307179586,122.2,6.11
17,wenner,apparent_resistivity,230.0,0.0,260.0,0.0,240.0,0.0,250.0,0.0,107.07,1.7040719756849234,62.83185307179586,107.07,5.3535
18,wenner,apparent_resistivity,220.0,0.0,250.0,0.0,230.0,0.0,240.0,0.0,91.94,1.4632705467868858,62.83185307179586,91.94,4.597
19,wenner,apparent_resistivity,210.0,0.0,240.0,0.0,220.0,0.0,230.0,0.0,78.54,1.2500029230437462,62.83185307179586,78.54,3.9270000000000005
20,wenner,apparent_resistivity,200.0,0.0,230.0,0.0,210.0,0.0,220.0,0.0,65.15,1.0368944542436982,62.83185307179586,65.15,3.2575000000000003
21,wenner,apparent_resistivity,190.0,0.0,220.0,0.0,200.0,0.0,210.0,0.0,34.84,0.5544958217321634,62.83185307179586,34.84,1.7420000000000002
22,wenner,apparent_resistivity,180.0,0.0,210.0,0.0,190.0,0.0,200.0,0.0,45.49,0.7239958361250319,62.83185307179586,45.49,2.2745
23,wenner,apparent_resistivity,170.0,0.0,200.0,0.0,180.0,0.0,190.0,0.0,56.14,0.8934958505179005,62.83185307179586,56.14,2.8070000000000004
24,wenner,apparent_resistivity,160.0,0.0,190.0,0.0,170.0,0.0,180.0,0.0,38.98,0.620385968172208,62.83185307179586,38.98,1.9489999999999998
25,wenner,apparent_resistivity,150.0,0.0,180.0,0.0,160.0,0.0,170.0,0.0,35.24,0.5608620194558392,62.83185307179586,35.24,1.7620000000000002
26,wenner,apparent_resistivity,140.0,0.0,170.0,0.0,150.0,0.0,160.0,0.0,48.63,0.7739704882558871,62.83185307179586,48.63,2.4315
27,wenner,apparent_resistivity,130.0,0.0,160.0,0.0,140.0,0.0,150.0,0.0,40.53,0.6450549843514518,62.83185307179586,40.53,2.0265
28,wenner,apparent_resistivity,120.0,0.0,150.0,0.0,130.0,0.0,140.0,0.0,49.72,0.7913183770529036,62.83185307179586,49.72,2.486
29,wenner,apparent_resistivity,110.0,0.0,140.0,0.0,120.0,0.0,130.0,0.0,40.12,0.638529631684684,62.83185307179586,40.12,2.006
30,wenner,apparent_resistivity,100.0,0.0,130.0,0.0,110.0,0.0,120.0,0.0,30.53,0.4859000412595565,62.83185307179586,30.53,1.5265000000000002
31,wenner,apparent_resistivity,90.0,0.0,120.0,0.0,100.0,0.0,110.0,0.0,37.63,0.5989000508548022,62.83185307179586,37.63,1.8815000000000002
32,wenner,apparent_resistivity,80.0,0.0,110.0,0.0,90.0,0.0,100.0,0.0,31.53,0.501815535568746,62.83185307179586,31.53,1.5765000000000002
33,wenner,apparent_resistivity,70.0,0.0,100.0,0.0,80.0,0.0,90.0,0.0,31.88,0.5073859585769623,62.83185307179586,31.88,1.594
34,wenner,apparent_resistivity,60.0,0.0,90.0,0.0,70.0,0.0,80.0,0.0,29.24,0.46536905360070197,62.83185307179586,29.24,1.462
35,wenner,apparent_resistivity,50.0,0.0,80.0,0.0,60.0,0.0,70.0,0.0,37.06,0.5898282190985642,62.83185307179586,37.06,1.8530000000000002
